Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
India,IND,1990,0.28363935,0.359676824,0.08717348,3.019088998,0.439830227,4.036883679,1.618483384
India,IND,1991,0.283901657,0.359676847,0.087628002,3.005252442,0.44149624,4.184200981,1.618952568
India,IND,1992,0.284109008,0.359660068,0.088162897,2.988309594,0.442903677,4.312385655,1.619322982
India,IND,1993,0.284259721,0.359631381,0.08872662,2.969208988,0.444018063,4.414980166,1.61950898
India,IND,1994,0.284349416,0.359593296,0.089279226,2.949018836,0.444798467,4.484433492,1.61931161
India,IND,1995,0.284375232,0.359546682,0.089842356,2.928667647,0.445253964,4.512358314,1.618738299
India,IND,1996,0.284325471,0.35951429,0.090467469,2.889041945,0.445056213,4.504917582,1.619517948
India,IND,1997,0.284213769,0.359502866,0.09113557,2.823852822,0.444447178,4.479159083,1.622576074
India,IND,1998,0.284084698,0.359501936,0.091933132,2.753267919,0.443542347,4.447848261,1.626812407
India,IND,1999,0.283981553,0.359499772,0.09278109,2.697273655,0.442724017,4.421917633,1.631067355
India,IND,2000,0.283947514,0.359488076,0.093671653,2.67586172,0.442519516,4.413786332,1.634057863
India,IND,2001,0.28404088,0.359504205,0.094661307,2.681428414,0.442259272,4.433913882,1.638343964
India,IND,2002,0.284250056,0.359575966,0.095855779,2.692071304,0.442164659,4.473846364,1.64535149
India,IND,2003,0.284514649,0.359685283,0.097127382,2.706141713,0.441975002,4.519974185,1.652088392
India,IND,2004,0.284775238,0.359814781,0.098485846,2.72199717,0.441885104,4.557148048,1.655716239
India,IND,2005,0.284971904,0.359943842,0.0999729,2.737954456,0.441963775,4.57080957,1.653416224
India,IND,2006,0.285120291,0.360140638,0.101538391,2.775081376,0.444177354,4.491986603,1.621960924
India,IND,2007,0.285291442,0.360450794,0.103503334,2.842711344,0.448936245,4.308248065,1.553993032
India,IND,2008,0.285513561,0.360826481,0.105650038,2.921394766,0.454618004,4.087367404,1.470625313
India,IND,2009,0.285799759,0.361200116,0.107819079,2.991427595,0.459547059,3.899408344,1.393008654
India,IND,2010,0.286153521,0.361490051,0.110004426,3.032851734,0.462003338,3.814205092,1.342485123
India,IND,2011,0.287054334,0.361706801,0.112213367,3.052751487,0.462492552,3.806569843,1.313871337
India,IND,2012,0.288682335,0.361914963,0.114527643,3.071212347,0.462605557,3.804011817,1.288703264
India,IND,2013,0.290590607,0.362108763,0.116913107,3.087611767,0.462595704,3.804581218,1.268615682
India,IND,2014,0.292328441,0.362280822,0.119491442,3.101271502,0.462946463,3.806127988,1.255238464
India,IND,2015,0.293441513,0.362423482,0.122116043,3.111434747,0.46366543,3.805889697,1.250184629
India,IND,2016,0.294215813,0.362455828,0.125390035,3.119855289,0.491247403,3.804209772,1.251666213
India,IND,2017,0.29465624,0.362466259,0.128380397,3.12420223,0.519049377,3.80198631,1.25205335
India,IND,2018,0.293955664,0.362588878,0.130530719,3.098617818,0.51967275,3.78461023,1.227762437
India,IND,2019,0.292178003,0.362773952,0.132427416,3.03974741,0.520044214,3.749034091,1.176155954
India,IND,2020,0.293052326,0.362442569,0.125035594,3.097534395,0.491317334,3.793777044,1.240239533
India,IND,2021,0.292566771,0.362383946,0.123868044,3.094609723,0.488127137,3.794914241,1.245624392
India,IND,2022,0.292998375,0.362436055,0.124905866,3.097209431,0.490962868,3.793903399,1.24083785
